GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todo-backend,com.example.todobackend.model,Todo,12,129,0,12,6,34,3,21,3,15
todo-backend,com.example.todobackend.exception,TodoNotFoundException,5,4,0,0,2,2,1,1,1,1
todo-backend,com.example.todobackend.exception,GlobalExceptionHandler,81,131,0,0,20,33,2,5,2,5
todo-backend,com.example.todobackend.controller,TodoController,29,296,0,2,5,53,1,10,1,9
todo-backend,com.example.todobackend.service,TodoStorageService,0,158,1,5,0,30,1,12,0,10
todo-backend,com.example.todobackend.service,TodoService,8,176,0,12,1,40,0,20,0,14
todo-backend,com.example.todobackend.dto,UpdateTodoRequest,0,9,0,0,0,1,0,1,0,1
todo-backend,com.example.todobackend.dto,CreateTodoRequest,0,6,0,0,0,1,0,1,0,1
todo-backend,com.example.todobackend.dto,TodoResponse,0,12,0,0,0,1,0,1,0,1
todo-backend,com.example.todobackend.dto,ErrorResponse.ValidationError,0,15,0,0,0,1,0,1,0,1
todo-backend,com.example.todobackend.dto,ErrorResponse,20,24,0,0,4,1,2,1,2,1
todo-backend,com.example.todobackend.config,CorsConfig,0,131,0,0,0,23,0,3,0,3
todo-backend,com.example.todobackend,TodoBackendApplication,5,3,0,0,2,1,1,1,1,1
todo-backend,com.example.todobackend.mapper,TodoMapperManualImpl,37,15,9,1,13,6,7,2,2,2
